date,mktrf,smb,hml,rf
2016-01-04,-0.0159,-0.0087,0.0052,0.0
2016-01-05,0.0013,-0.0018,0.0,0.0
2016-01-06,-0.0135,-0.0013,0.0001,0.0
2016-01-07,-0.0244,-0.003,0.0008,0.0
2016-01-08,-0.0111,-0.0049,-0.0003,0.0
2016-01-11,-0.0006,-0.0064,0.004,0.0
2016-01-12,0.0072,-0.0042,-0.0078,0.0
2016-01-13,-0.0266,-0.0073,0.008,0.0
2016-01-14,0.0165,0.0002,-0.0041,0.0
2016-01-15,-0.0213,0.004,-0.0022,0.0
2016-01-19,-0.0019,-0.0134,-0.0007,0.0
2016-01-20,-0.0094,0.0187,-0.0126,0.0
2016-01-21,0.0045,-0.0052,-0.0002,0.0
2016-01-22,0.0208,0.0021,-0.0019,0.0
2016-01-25,-0.017,-0.0039,-0.0098,0.0
2016-01-26,0.0152,0.0041,0.0118,0.0
2016-01-27,-0.0111,-0.0056,0.017,0.0
2016-01-28,0.0049,-0.0047,0.0126,0.0
2016-01-29,0.0257,0.0048,0.0042,0.0
2016-02-01,-0.0004,-0.0019,-0.01,1e-05
2016-02-02,-0.02,-0.0003,-0.0036,1e-05
2016-02-03,0.0046,-0.0033,0.0045,1e-05
2016-02-04,0.0027,0.0011,0.0035,1e-05
2016-02-05,-0.0206,-0.0107,0.0163,1e-05
2016-02-08,-0.0151,-0.0001,0.0083,1e-05
2016-02-09,-0.0008,-0.0047,-0.0029,1e-05
2016-02-10,0.0001,-0.0005,-0.0055,1e-05
2016-02-11,-0.0117,0.0051,-0.0147,1e-05
2016-02-12,0.0198,-0.0052,0.0109,1e-05
2016-02-16,0.0178,0.0052,-0.0052,1e-05
2016-02-17,0.0174,-0.0006,-0.0065,1e-05
2016-02-18,-0.0051,0.0,0.0022,1e-05
2016-02-19,0.0006,0.0043,-0.0058,1e-05
2016-02-22,0.0143,-0.0027,0.0026,1e-05
2016-02-23,-0.0121,0.0047,-0.005,1e-05
2016-02-24,0.0054,0.007,-0.0029,1e-05
2016-02-25,0.011,-0.0043,0.0022,1e-05
2016-02-26,-0.0002,0.008,0.0029,1e-05
2016-02-29,-0.0069,0.0065,0.0025,1e-05
2016-03-01,0.0234,-0.0066,0.0039,1e-05
2016-03-02,0.0054,0.0052,0.0068,1e-05
2016-03-03,0.005,0.0046,0.0065,1e-05
2016-03-04,0.0037,0.0029,0.0028,1e-05
2016-03-07,0.0021,0.012,0.0055,1e-05
2016-03-08,-0.0127,-0.0117,-0.0047,1e-05
2016-03-09,0.005,0.0001,0.0041,1e-05
2016-03-10,-0.001,-0.0086,0.0062,1e-05
2016-03-11,0.0169,0.0028,0.0023,1e-05
2016-03-14,-0.0013,-0.0008,-0.009,1e-05
2016-03-15,-0.0035,-0.0149,0.0069,1e-05
2016-03-16,0.0063,0.0011,-0.0009,1e-05
2016-03-17,0.0071,0.0083,0.0059,1e-05
2016-03-18,0.0054,0.0037,-0.0014,1e-05
2016-03-21,0.001,-0.0022,-0.0033,1e-05
2016-03-22,-0.0005,-0.0001,-0.0045,1e-05
2016-03-23,-0.0085,-0.0117,-0.0016,1e-05
2016-03-24,0.0,0.0048,-0.0006,1e-05
2016-03-28,0.0004,-0.0003,0.0016,1e-05
2016-03-29,0.0107,0.018,-0.0119,1e-05
2016-03-30,0.0041,-0.003,0.0016,1e-05
